alacritty 0.2.9-1
ksystemlog 18.12.3-1
kwalletmanager 18.12.3-1
kwin-lowlatency 5.15.4-1
latte-dock 0.8.7-1
less 530-1
libappimage 1.0.0-1
libclc 0.2.0+584+4501738-1
libdbusmenu-glib 16.04.0-3
libnotify 0.7.8-1
libotf 0.9.16-1
libtool 2.4.6+42+gb88cebd5-2
libva-intel-driver 2.3.0-2
libva-utils 2.4.1-1
libva-vdpau-driver-chromium 0.7.4-4
libvdpau-va-gl 0.4.2-2
libvdpau-va-gl-i965 1-1
licenses 20181104-1
linux 5.0.7.arch1-1
linux-firmware 20190313.efd2c1c-1
linux-headers 5.0.7.arch1-1
linux-tools-meta 5.0-1
logrotate 3.15.0-1
lsof 4.91-1
lvm2 2.02.184-3
lzop 1.04-2
m4 1.4.18-2
make 4.2.1-3
man-db 2.8.5-2
man-pages 5.00-1
mdadm 4.0-2
mesa 19.0.2-1
mesa-demos 8.4.0-1
micro-bin 1.4.1-1
mplayer 38125-4
nano 4.0-2
neofetch 6.0.0-1
neovim 0.3.4-2
netctl 1.20-1
networkmanager-openvpn 1.8.10-1
notepadqq 1.4.8-2
npm 6.9.0-1
obs-studio 23.1.0-1
openvpn 2.4.7-1
otf-fira-code 1.206-1
p7zip 16.02-5
pacgraph 20110629-4
pacman 5.1.3-1
pacman-contrib 1.1.0-1
pacmatic 20150126-2
pacutils 0.7.0-1
patch 2.7.6-7
pciutils 3.6.2-1
perl 5.28.1-1
pigz 2.4-1
pkgconf 1.6.1-1
plasma-browser-integration 5.15.4-1
plasma-desktop 5.15.4-1
plasma-nm 5.15.4-1
plasma-pa 5.15.4-1
plasma5-applets-window-appmenu 0.4.1-1
plasma5-applets-window-buttons 0.3-1
plasma5-applets-window-title 0.4-1
powerdevil 5.15.4-1
procps-ng 3.3.15-1
psmisc 23.2-1
pulseaudio 12.2-2
pulseaudio-alsa 2-4
purpose 5.56.0-1
python-fonttools 3.39.0-1
python-lxml 4.3.3-1
python-numpy 1.16.2-1
python-powerline-git 1:2.7+7+g5d82d544-1
python-pywal 3.3.0-1
qdirstat 1.5-2
qimgv-git v0.7.3.r2.g7e7af06-1
reflector 2019.3-1
reiserfsprogs 3.6.27-2
s-nail 14.9.13-2
sddm 0.18.1-1
sddm-kcm 5.15.4-1
sed 4.7-1
shadow 4.6-2
smartmontools 7.0-1
smplayer 19.1.0-1
smplayer-skins 1:15.2.0-2
smplayer-themes 1:18.6.0-1
spotify 1:1.0.98.78-2
sshfs 3.5.1-2
sudo 1.8.27-1
sweeper 18.12.3-1
sysfsutils 2.1.0-10
systemd 241.93-1
systemd-sysvcompat 241.93-1
tar 1.32-1
telegram-desktop 1.6.3-1
testdisk 7.0-5
texinfo 6.6-1
thermald 1.8-2
tk 8.6.9-2
ttf-croscore 20190111-1
ttf-iosevka 2.2.0-2
ttf-montserrat 7.200-3
ttf-ms-fonts 2.0-10
usbutils 010-1
user-manager 5.15.4-1
util-linux 2.33.2-1
vdpauinfo 1.0-3
vi 1:070224-3
vim 8.1.1073-1
vlc 3.0.6-11
watch-with-mpv 1.2.9-1
webstorm 2019.1-1
webstorm-jre 2019.1-1
wget 1.20.3-1
which 2.21-3
wpa_supplicant 2:2.6-2
x86_energy_perf_policy 5.0-1
xcursor-arch-cursor-complete 06.10.2018-1
xcursor-breeze-serie-obsidian 2.0-1
xdg-user-dirs 0.17-2
xfsprogs 4.20.0-2
xorg-xrandr 1.5.0-2
xsel 1.2.0.20160929-2
yay 9.2.0-1
zsh 5.7.1-1
